V1,V2,V3,V4,V5,V6,V7,period_cat,location,target_type
CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ILM-EKF,Karlen-pypm,MUNI-ARIMA,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Cases
CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ITWW-county_repro,Karlen-pypm,UNIPV-BayesINGARCHX,itwm-dSEIR,MIT_CovidAnalytics-DELPHI,3,DE,Cases
CovidMetrics-epiBATS,EuroCOVIDhub-baseline,ILM-EKF,ITWW-county_repro,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ITWW-county_repro,MUNI-ARIMA,epiforecasts-EpiNow2,itwm-dSEIR,MIT_CovidAnalytics-DELPHI,3,DE,Cases
CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,3,DE,Cases
CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,Karlen-pypm,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Cases
CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,MIT_CovidAnalytics-DELPHI,3,DE,Cases
CovidMetrics-epiBATS,EuroCOVIDhub-baseline,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Cases
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,RobertWalraven-ESG,UNIPV-BayesINGARCHX,MIT_CovidAnalytics-DELPHI,3,DE,Cases
EuroCOVIDhub-baseline,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,MIT_CovidAnalytics-DELPHI,3,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,3,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,itwm-dSEIR,MIT_CovidAnalytics-DELPHI,3,DE,Cases
CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,3,DE,Cases
CovidMetrics-epiBATS,EuroCOVIDhub-baseline,ITWW-county_repro,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,MIT_CovidAnalytics-DELPHI,3,DE,Cases
CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,epiforecasts-EpiNow2,itwm-dSEIR,MIT_CovidAnalytics-DELPHI,3,DE,Cases
FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,3,DE,Cases
CovidMetrics-epiBATS,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX,itwm-dSEIR,3,DE,Cases
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,MIT_CovidAnalytics-DELPHI,3,DE,Cases
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,MUNI-ARIMA,itwm-dSEIR,MIT_CovidAnalytics-DELPHI,3,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,epiforecasts-EpiNow2,3,DE,Cases
IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,MIT_CovidAnalytics-DELPHI,3,DE,Cases
CovidMetrics-epiBATS,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MUNI-ARIMA,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Cases
CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Cases
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,3,DE,Cases
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,3,DE,Cases
CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,3,DE,Cases
CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,3,DE,Cases
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,RobertWalraven-ESG,UNIPV-BayesINGARCHX,itwm-dSEIR,MIT_CovidAnalytics-DELPHI,3,DE,Cases
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,MIT_CovidAnalytics-DELPHI,3,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,epiforecasts-EpiNow2,MIT_CovidAnalytics-DELPHI,3,DE,Cases
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,MUNI-ARIMA,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,itwm-dSEIR,3,DE,Deaths
IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,3,DE,Deaths
FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MUNI-ARIMA,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MUNI-ARIMA,UMass-MechBayes,epiforecasts-EpiNow2,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UMass-MechBayes,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UMass-MechBayes,epiforecasts-EpiNow2,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UMass-MechBayes,epiforecasts-EpiNow2,3,DE,Deaths
ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiNow2,3,DE,Deaths
IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,3,DE,Deaths
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,itwm-dSEIR,3,DE,Deaths
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,UMass-MechBayes,epiforecasts-EpiNow2,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,3,DE,Deaths
FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiNow2,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiNow2,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,itwm-dSEIR,3,DE,Deaths
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,epiforecasts-EpiNow2,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,RobertWalraven-ESG,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,3,DE,Deaths
HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiNow2,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,MUNI-ARIMA,UMass-MechBayes,epiforecasts-EpiNow2,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,3,DE,Deaths
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UMass-MechBayes,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,UMass-MechBayes,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,itwm-dSEIR,3,DE,Deaths
HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,UMass-MechBayes,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiNow2,3,DE,Deaths
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,ILM-EKF,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
IEM_Health-CovidProject,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UMass-MechBayes,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,UMass-MechBayes,itwm-dSEIR,3,DE,Deaths
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UMass-MechBayes,3,DE,Deaths
IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiNow2,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UMass-MechBayes,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiNow2,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,UMass-MechBayes,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,MUNI-ARIMA,UMass-MechBayes,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UMass-MechBayes,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,UMass-MechBayes,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UMass-MechBayes,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiNow2,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,RobertWalraven-ESG,UMass-MechBayes,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,3,DE,Deaths
FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UMass-MechBayes,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,3,DE,Deaths
IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,3,DE,Deaths
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,RobertWalraven-ESG,UMass-MechBayes,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiNow2,3,DE,Deaths
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiNow2,3,DE,Deaths
HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiNow2,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,3,DE,Deaths
IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiNow2,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiNow2,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiNow2,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UMass-MechBayes,itwm-dSEIR,3,DE,Deaths
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,RobertWalraven-ESG,UMass-MechBayes,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
FIAS_FZJ-Epi1Ger,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UMass-MechBayes,epiforecasts-EpiNow2,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiNow2,3,DE,Deaths
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,UMass-MechBayes,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,3,DE,Deaths
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,RobertWalraven-ESG,epiforecasts-EpiNow2,itwm-dSEIR,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,UMass-MechBayes,3,DE,Deaths
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX,4,DE,Cases
FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,4,DE,Cases
CovidMetrics-epiBATS,HZI-AgeExtendedSEIR,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,itwm-dSEIR,4,DE,Cases
CovidMetrics-epiBATS,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,MUNI-ARIMA,UNIPV-BayesINGARCHX,itwm-dSEIR,4,DE,Cases
CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,ITWW-county_repro,itwm-dSEIR,4,DE,Cases
CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,itwm-dSEIR,4,DE,Cases
CovidMetrics-epiBATS,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,4,DE,Cases
FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,itwm-dSEIR,4,DE,Cases
